jobNumber,mean_runtime_ms
1,0.138502
2,0.174496
3,0.210589
4,0.246032
5,0.279236
6,0.313458
7,0.358586
8,0.398494
9,0.432574
10,0.465818
11,0.500422
12,0.532435
13,0.580300
14,3.769638
15,7.941382
16,8.997729
17,9.159515
18,8.674018
19,9.019540
20,9.936700
21,9.770164
22,10.741731
23,10.772068
24,12.965112
25,14.402598
26,16.200165
27,19.083395
28,19.411397
29,23.712177
30,27.160414
