jobNumber,mean_runtime_ms
1,0.083729
2,0.088237
3,0.128967
4,0.139139
5,0.141102
6,0.149567
7,0.159577
8,0.171847
9,0.179394
10,0.186061
11,1.568519
12,1.846882
13,2.164216
14,2.311189
15,2.519714
16,2.655648
17,2.866705
18,2.990464
19,3.102219
20,3.013272
21,3.214988
22,3.139072
23,3.266392
24,3.282043
25,3.486163
26,3.501348
27,3.506201
28,3.721004
29,3.787173
30,3.703570
