jobNumber,mean_runtime_ms
1,0.087681
2,0.097295
3,0.156289
4,0.168991
5,0.185025
6,0.200807
7,0.217001
8,0.241250
9,0.255838
10,0.270325
11,0.285681
12,0.302002
13,0.332136
14,0.347921
15,0.362360
16,0.376450
17,0.393452
18,0.412511
19,0.428114
20,0.443479
21,3.390075
22,3.917083
23,4.220174
24,4.355149
25,4.592165
26,4.847254
27,5.180256
28,5.476810
29,5.526889
30,5.744982
