jobNumber,mean_runtime_ms
1,0.084136
2,0.087217
3,0.089793
4,0.138239
5,0.142506
6,0.149065
7,0.158058
8,0.170637
9,0.178475
10,0.184518
11,0.191923
12,0.198661
13,0.212232
14,1.541721
15,2.338534
16,2.879204
17,3.026809
18,2.687580
19,2.699584
20,2.867062
21,2.805042
22,2.865098
23,2.822869
24,3.053607
25,3.232591
26,3.224967
27,3.218378
28,3.377744
29,3.542634
30,3.600291
