jobNumber,mean_runtime_ms
1,0.133909
2,0.175215
3,0.211319
4,0.247837
5,0.280469
6,0.315250
7,2.713429
8,3.587219
9,4.212337
10,5.165514
11,5.676095
12,6.562205
13,6.851692
14,8.258832
15,8.928835
16,8.618294
17,9.812089
18,7.801020
19,8.280776
20,9.023781
21,8.214841
22,8.890368
23,8.077744
24,7.953921
25,8.048793
26,8.025811
27,8.130649
28,7.040245
29,7.151212
30,7.285346
