jobNumber,mean_runtime_ms
1,0.128628
2,0.124615
3,0.125866
4,0.134337
5,0.144900
6,0.154642
7,1.519340
8,1.610640
9,1.831367
10,1.989983
11,2.173549
12,2.462483
13,3.244790
14,3.323713
15,3.552516
16,3.270414
17,3.653578
18,3.448388
19,3.100291
20,3.068072
21,3.095791
22,3.292815
23,2.913189
24,2.931173
25,2.905661
26,3.021414
27,2.892564
28,2.655745
29,2.671640
30,2.680441
