jobNumber,mean_runtime_ms
1,0.094651
2,0.155911
3,0.180026
4,0.204993
5,0.231043
6,0.255291
7,0.278902
8,0.310131
9,0.343909
10,0.367549
11,0.391896
12,0.414763
13,0.444524
14,0.468564
15,0.492590
16,0.516809
17,0.542257
18,0.576917
19,0.602072
20,0.625333
21,4.254854
22,6.208548
23,6.777100
24,7.193837
25,7.393480
26,8.137820
27,8.550009
28,9.009069
29,10.200861
30,9.656082
